"country","rate2019both","rate2019male","rate2019female","pop2022"
"Lesotho","72.4000","116","30.1000","2305.8250"
"Guyana","40.3000","63","17.4000","808.7260"
"Eswatini","29.4000","55.1000","4.7000","1201.6700"
"South Korea","28.6000","40.2000","16.9000","51815.8100"
"Kiribati","28.3000","48.6000","8.7000","131.2320"
"Micronesia","28.2000","43.2000","12.7000","114.1640"
"Lithuania","26.1000","45.4000","9.6000","2750.0550"
"Suriname","25.4000","38.8000","11.8000","618.0400"
"Russia","25.1000","43.6000","9.1000","144713.3140"
"South Africa","23.5000","37.6000","9.8000","59893.8850"
"Ukraine","21.6000","39.2000","6.5000","39701.7390"
"Belarus","21.2000","36.7000","7.7000","9534.9540"
"Uruguay","21.2000","34.5000","8.9000","3422.7940"
"Montenegro","21","31.7000","10.4000","627.0820"
"Latvia","20.1000","35.5000","7","1850.6510"
"Slovenia","19.8000","31.4000","8.3000","2119.8440"
"Belgium","18.3000","24.9000","11.8000","11655.9300"
"Vanuatu","18","28.1000","7.6000","326.7400"
"Mongolia","17.9000","30.7000","5.4000","3398.3660"
"Kazakhstan","17.6000","29","6.8000","19397.9980"
"Hungary","16.6000","25.9000","8.3000","9967.3080"
"Croatia","16.4000","25.3000","8.1000","4030.3580"
"United States","16.1000","25","7.5000","338289.8570"
"Botswana","16.1000","26.3000","6.4000","2630.2960"
"Japan","15.3000","21.8000","9.2000","123951.6920"
"Finland","15.3000","23.2000","7.6000","5540.7450"
"Estonia","14.9000","24.3000","6.5000","1326.0620"
"Sweden","14.7000","19.9000","9.5000","10549.3470"
"Moldova","14.7000","26.1000","4.1000","3272.9960"
"Solomon Islands","14.7000","27","1.9000","724.2730"
"Austria","14.6000","22.8000","6.7000","8939.6170"
"Cuba","14.5000","23","6","11212.1910"
"Switzerland","14.5000","20.2000","9","8740.4720"
"Zimbabwe","14.1000","20","8.8000","16320.5370"
"Sri Lanka","14","22.3000","6.2000","21832.1430"
"France","13.8000","20.4000","7.6000","64626.6280"
"Mozambique","13.6000","22","5.7000","32969.5180"
"India","12.7000","14.1000","11.1000","1417173.1730"
"Samoa","12.6000","18","6.7000","222.3820"
"Australia","12.5000","18.6000","6.4000","26177.4130"
"Germany","12.3000","18.6000","6.2000","83369.8430"
"Central African Republic","12.3000","19.6000","5.2000","5579.1440"
"Slovakia","12.1000","21.2000","3.4000","5643.4530"
"Iceland","11.9000","19.8000","3.9000","372.8990"
"Canada","11.8000","17.6000","6.1000","38454.3270"
"Netherlands","11.8000","15.5000","8.3000","17564.0140"
"Norway","11.8000","15.8000","7.7000","5434.3190"
"Portugal","11.5000","17.9000","5.7000","10270.8650"
"Serbia","11.4000","16.6000","6.3000","7221.3650"
"Poland","11.3000","20.1000","3.1000","39857.1450"
"Luxembourg","11.3000","15.3000","7.1000","647.5990"
"Singapore","11.2000","15","7.1000","5975.6890"
